label_a,label_b,n_traces_disagreed_as_primary
EDIT_TOOL_MECHANICAL_FAILURE,PATCH_CHURN,4
EDIT_TOOL_MECHANICAL_FAILURE,FAILED_RECOVERY,3
ENVIRONMENT_BLOCKED,OVER_BROAD_EDIT,2
OVER_BROAD_EDIT,VERIFICATION_GAP,1
DEPENDENCY_SETUP_DRIFT,VERIFICATION_GAP,1
ENVIRONMENT_BLOCKED,PREEMPTIVE_HELPER_TOOL_BUILD,1
HELPER_TOOL_FAILURE_LOOP,STAGNATION,1
FILENAME_SEARCH_THRASH,VERIFICATION_GAP,1
PREEMPTIVE_HELPER_TOOL_BUILD,PREMATURE_SCRATCH_REPRO,1
CONTEXT_BLOAT,PREEMPTIVE_HELPER_TOOL_BUILD,1
PATCH_CHURN,PREEMPTIVE_HELPER_TOOL_BUILD,1
DEPENDENCY_SETUP_DRIFT,ENVIRONMENT_BLOCKED,1
BUDGET_EXHAUSTION_NONCONVERGENCE,FAILED_RECOVERY,1
REDUNDANT_FILE_REREAD,STAGNATION,1
FAILED_RECOVERY,PREEMPTIVE_HELPER_TOOL_BUILD,1
BUDGET_EXHAUSTION_NONCONVERGENCE,STAGNATION,1
